RUN	computerdatabase.ProveOwner	proveowner	1588023561117	5 per second	3.3.1
USER	Prove Ownership	80	START	1588023578262	1588023578262
REQUEST	80		Prove Owner	1588023578262	1588023578334	OK	 
USER	Prove Ownership	80	END	1588023578262	1588023578335
USER	Prove Ownership	81	START	1588023578461	1588023578461
REQUEST	81		Prove Owner	1588023578462	1588023578526	OK	 
USER	Prove Ownership	81	END	1588023578461	1588023578527
USER	Prove Ownership	82	START	1588023578661	1588023578661
REQUEST	82		Prove Owner	1588023578662	1588023578723	OK	 
USER	Prove Ownership	82	END	1588023578661	1588023578723
USER	Prove Ownership	83	START	1588023578861	1588023578861
REQUEST	83		Prove Owner	1588023578864	1588023578958	OK	 
USER	Prove Ownership	83	END	1588023578861	1588023578959
USER	Prove Ownership	84	START	1588023579062	1588023579062
REQUEST	84		Prove Owner	1588023579064	1588023579129	OK	 
USER	Prove Ownership	84	END	1588023579062	1588023579130
USER	Prove Ownership	85	START	1588023579262	1588023579262
REQUEST	85		Prove Owner	1588023579263	1588023579360	OK	 
USER	Prove Ownership	85	END	1588023579262	1588023579361
USER	Prove Ownership	86	START	1588023579461	1588023579461
REQUEST	86		Prove Owner	1588023579462	1588023579519	OK	 
USER	Prove Ownership	86	END	1588023579461	1588023579519
USER	Prove Ownership	87	START	1588023579671	1588023579671
REQUEST	87		Prove Owner	1588023579672	1588023579732	OK	 
USER	Prove Ownership	87	END	1588023579671	1588023579733
USER	Prove Ownership	88	START	1588023579874	1588023579874
REQUEST	88		Prove Owner	1588023579874	1588023579939	OK	 
USER	Prove Ownership	88	END	1588023579874	1588023579939
USER	Prove Ownership	89	START	1588023580072	1588023580072
REQUEST	89		Prove Owner	1588023580074	1588023580188	OK	 
USER	Prove Ownership	89	END	1588023580072	1588023580188
USER	Prove Ownership	90	START	1588023580271	1588023580271
REQUEST	90		Prove Owner	1588023580272	1588023580390	OK	 
USER	Prove Ownership	90	END	1588023580271	1588023580390
USER	Prove Ownership	91	START	1588023580471	1588023580471
REQUEST	91		Prove Owner	1588023580472	1588023580558	OK	 
USER	Prove Ownership	91	END	1588023580471	1588023580558
USER	Prove Ownership	92	START	1588023580672	1588023580672
REQUEST	92		Prove Owner	1588023580673	1588023580738	OK	 
USER	Prove Ownership	92	END	1588023580672	1588023580738
USER	Prove Ownership	93	START	1588023580872	1588023580872
REQUEST	93		Prove Owner	1588023580873	1588023580947	OK	 
USER	Prove Ownership	93	END	1588023580872	1588023580947
USER	Prove Ownership	94	START	1588023581072	1588023581072
REQUEST	94		Prove Owner	1588023581073	1588023581184	OK	 
USER	Prove Ownership	94	END	1588023581072	1588023581184
USER	Prove Ownership	95	START	1588023581272	1588023581272
REQUEST	95		Prove Owner	1588023581272	1588023581346	OK	 
USER	Prove Ownership	95	END	1588023581272	1588023581347
USER	Prove Ownership	96	START	1588023581471	1588023581471
REQUEST	96		Prove Owner	1588023581472	1588023581563	OK	 
USER	Prove Ownership	96	END	1588023581471	1588023581564
USER	Prove Ownership	97	START	1588023581672	1588023581672
REQUEST	97		Prove Owner	1588023581673	1588023581820	OK	 
USER	Prove Ownership	97	END	1588023581672	1588023581821
USER	Prove Ownership	98	START	1588023581874	1588023581874
REQUEST	98		Prove Owner	1588023581874	1588023582032	OK	 
USER	Prove Ownership	98	END	1588023581874	1588023582033
USER	Prove Ownership	99	START	1588023582072	1588023582072
REQUEST	99		Prove Owner	1588023582073	1588023582180	OK	 
USER	Prove Ownership	99	END	1588023582072	1588023582182
USER	Prove Ownership	100	START	1588023582273	1588023582273
REQUEST	100		Prove Owner	1588023582273	1588023582375	OK	 
USER	Prove Ownership	100	END	1588023582273	1588023582375
USER	Prove Ownership	101	START	1588023582473	1588023582473
REQUEST	101		Prove Owner	1588023582474	1588023582554	OK	 
USER	Prove Ownership	101	END	1588023582473	1588023582555
USER	Prove Ownership	102	START	1588023582662	1588023582662
REQUEST	102		Prove Owner	1588023582662	1588023582773	OK	 
USER	Prove Ownership	102	END	1588023582662	1588023582774
USER	Prove Ownership	103	START	1588023582862	1588023582862
REQUEST	103		Prove Owner	1588023582864	1588023582922	OK	 
USER	Prove Ownership	103	END	1588023582862	1588023582922
USER	Prove Ownership	104	START	1588023583061	1588023583061
REQUEST	104		Prove Owner	1588023583062	1588023583121	OK	 
USER	Prove Ownership	104	END	1588023583061	1588023583122
USER	Prove Ownership	105	START	1588023583262	1588023583262
REQUEST	105		Prove Owner	1588023583262	1588023583362	OK	 
USER	Prove Ownership	105	END	1588023583262	1588023583363
USER	Prove Ownership	106	START	1588023583462	1588023583462
REQUEST	106		Prove Owner	1588023583463	1588023583565	OK	 
USER	Prove Ownership	106	END	1588023583462	1588023583566
USER	Prove Ownership	107	START	1588023583671	1588023583671
REQUEST	107		Prove Owner	1588023583672	1588023583740	OK	 
USER	Prove Ownership	107	END	1588023583671	1588023583740
USER	Prove Ownership	108	START	1588023583871	1588023583871
REQUEST	108		Prove Owner	1588023583873	1588023583968	OK	 
USER	Prove Ownership	108	END	1588023583871	1588023583969
USER	Prove Ownership	109	START	1588023584071	1588023584071
REQUEST	109		Prove Owner	1588023584072	1588023584132	OK	 
USER	Prove Ownership	109	END	1588023584071	1588023584133
USER	Prove Ownership	110	START	1588023584272	1588023584272
REQUEST	110		Prove Owner	1588023584273	1588023584327	OK	 
USER	Prove Ownership	110	END	1588023584272	1588023584328
USER	Prove Ownership	111	START	1588023584472	1588023584472
REQUEST	111		Prove Owner	1588023584473	1588023584558	OK	 
USER	Prove Ownership	111	END	1588023584472	1588023584559
USER	Prove Ownership	112	START	1588023584661	1588023584661
REQUEST	112		Prove Owner	1588023584661	1588023584746	OK	 
USER	Prove Ownership	112	END	1588023584661	1588023584746
USER	Prove Ownership	113	START	1588023584863	1588023584863
REQUEST	113		Prove Owner	1588023584864	1588023584928	OK	 
USER	Prove Ownership	113	END	1588023584863	1588023584929
USER	Prove Ownership	114	START	1588023585061	1588023585061
REQUEST	114		Prove Owner	1588023585062	1588023585146	OK	 
USER	Prove Ownership	114	END	1588023585061	1588023585146
USER	Prove Ownership	115	START	1588023585261	1588023585261
REQUEST	115		Prove Owner	1588023585262	1588023585354	OK	 
USER	Prove Ownership	115	END	1588023585261	1588023585354
USER	Prove Ownership	116	START	1588023585461	1588023585461
REQUEST	116		Prove Owner	1588023585463	1588023585650	OK	 
USER	Prove Ownership	116	END	1588023585461	1588023585651
USER	Prove Ownership	117	START	1588023585671	1588023585671
REQUEST	117		Prove Owner	1588023585672	1588023585856	OK	 
USER	Prove Ownership	117	END	1588023585671	1588023585856
USER	Prove Ownership	118	START	1588023585871	1588023585871
REQUEST	118		Prove Owner	1588023585872	1588023586059	OK	 
USER	Prove Ownership	118	END	1588023585871	1588023586060
USER	Prove Ownership	119	START	1588023586071	1588023586071
REQUEST	119		Prove Owner	1588023586073	1588023586254	OK	 
USER	Prove Ownership	119	END	1588023586071	1588023586255
USER	Prove Ownership	120	START	1588023586271	1588023586271
REQUEST	120		Prove Owner	1588023586272	1588023586375	OK	 
USER	Prove Ownership	120	END	1588023586271	1588023586376
USER	Prove Ownership	121	START	1588023586471	1588023586471
REQUEST	121		Prove Owner	1588023586472	1588023586531	OK	 
USER	Prove Ownership	121	END	1588023586471	1588023586532
USER	Prove Ownership	122	START	1588023586672	1588023586672
REQUEST	122		Prove Owner	1588023586673	1588023586752	OK	 
USER	Prove Ownership	122	END	1588023586672	1588023586753
USER	Prove Ownership	123	START	1588023586872	1588023586872
REQUEST	123		Prove Owner	1588023586873	1588023586934	OK	 
USER	Prove Ownership	123	END	1588023586872	1588023586934
USER	Prove Ownership	124	START	1588023587072	1588023587072
REQUEST	124		Prove Owner	1588023587072	1588023587166	OK	 
USER	Prove Ownership	124	END	1588023587072	1588023587167
USER	Prove Ownership	125	START	1588023587271	1588023587271
REQUEST	125		Prove Owner	1588023587274	1588023587369	OK	 
USER	Prove Ownership	125	END	1588023587271	1588023587370
USER	Prove Ownership	126	START	1588023587472	1588023587472
REQUEST	126		Prove Owner	1588023587473	1588023587544	OK	 
USER	Prove Ownership	126	END	1588023587472	1588023587545
USER	Prove Ownership	127	START	1588023587662	1588023587662
REQUEST	127		Prove Owner	1588023587663	1588023587788	OK	 
USER	Prove Ownership	127	END	1588023587662	1588023587789
USER	Prove Ownership	128	START	1588023587861	1588023587861
REQUEST	128		Prove Owner	1588023587862	1588023587926	OK	 
USER	Prove Ownership	128	END	1588023587861	1588023587928
USER	Prove Ownership	129	START	1588023588061	1588023588061
REQUEST	129		Prove Owner	1588023588062	1588023588125	OK	 
USER	Prove Ownership	129	END	1588023588061	1588023588126
USER	Prove Ownership	130	START	1588023588261	1588023588261
REQUEST	130		Prove Owner	1588023588262	1588023588327	OK	 
USER	Prove Ownership	130	END	1588023588261	1588023588328
USER	Prove Ownership	131	START	1588023588461	1588023588461
REQUEST	131		Prove Owner	1588023588463	1588023588530	OK	 
USER	Prove Ownership	131	END	1588023588461	1588023588531
USER	Prove Ownership	132	START	1588023588671	1588023588671
REQUEST	132		Prove Owner	1588023588672	1588023588743	OK	 
USER	Prove Ownership	132	END	1588023588671	1588023588744
USER	Prove Ownership	133	START	1588023588872	1588023588872
REQUEST	133		Prove Owner	1588023588874	1588023588946	OK	 
USER	Prove Ownership	133	END	1588023588872	1588023588947
USER	Prove Ownership	134	START	1588023589072	1588023589072
REQUEST	134		Prove Owner	1588023589073	1588023589136	OK	 
USER	Prove Ownership	134	END	1588023589072	1588023589137
USER	Prove Ownership	135	START	1588023589271	1588023589271
REQUEST	135		Prove Owner	1588023589271	1588023589350	OK	 
USER	Prove Ownership	135	END	1588023589271	1588023589351
USER	Prove Ownership	136	START	1588023589472	1588023589472
REQUEST	136		Prove Owner	1588023589473	1588023589549	OK	 
USER	Prove Ownership	136	END	1588023589472	1588023589549
USER	Prove Ownership	137	START	1588023589662	1588023589662
REQUEST	137		Prove Owner	1588023589663	1588023589756	OK	 
USER	Prove Ownership	137	END	1588023589662	1588023589756
USER	Prove Ownership	138	START	1588023589862	1588023589862
REQUEST	138		Prove Owner	1588023589862	1588023589931	OK	 
USER	Prove Ownership	138	END	1588023589862	1588023589932
USER	Prove Ownership	139	START	1588023590061	1588023590061
REQUEST	139		Prove Owner	1588023590062	1588023590132	OK	 
USER	Prove Ownership	139	END	1588023590061	1588023590133
USER	Prove Ownership	140	START	1588023590263	1588023590263
REQUEST	140		Prove Owner	1588023590264	1588023590379	OK	 
USER	Prove Ownership	140	END	1588023590263	1588023590380
USER	Prove Ownership	141	START	1588023590461	1588023590461
REQUEST	141		Prove Owner	1588023590462	1588023590558	OK	 
USER	Prove Ownership	141	END	1588023590461	1588023590559
USER	Prove Ownership	142	START	1588023590661	1588023590661
REQUEST	142		Prove Owner	1588023590662	1588023590748	OK	 
USER	Prove Ownership	142	END	1588023590661	1588023590748
USER	Prove Ownership	143	START	1588023590862	1588023590862
REQUEST	143		Prove Owner	1588023590863	1588023590929	OK	 
USER	Prove Ownership	143	END	1588023590862	1588023590930
USER	Prove Ownership	144	START	1588023591062	1588023591062
REQUEST	144		Prove Owner	1588023591062	1588023591116	OK	 
USER	Prove Ownership	144	END	1588023591062	1588023591116
USER	Prove Ownership	145	START	1588023591262	1588023591262
REQUEST	145		Prove Owner	1588023591263	1588023591382	OK	 
USER	Prove Ownership	145	END	1588023591262	1588023591383
USER	Prove Ownership	146	START	1588023591461	1588023591461
REQUEST	146		Prove Owner	1588023591462	1588023591547	OK	 
USER	Prove Ownership	146	END	1588023591461	1588023591547
USER	Prove Ownership	147	START	1588023591671	1588023591671
REQUEST	147		Prove Owner	1588023591671	1588023591741	OK	 
USER	Prove Ownership	147	END	1588023591671	1588023591741
USER	Prove Ownership	148	START	1588023591872	1588023591872
REQUEST	148		Prove Owner	1588023591872	1588023591943	OK	 
USER	Prove Ownership	148	END	1588023591872	1588023591944
USER	Prove Ownership	149	START	1588023592071	1588023592071
REQUEST	149		Prove Owner	1588023592072	1588023592134	OK	 
USER	Prove Ownership	149	END	1588023592071	1588023592135
USER	Prove Ownership	150	START	1588023592273	1588023592273
REQUEST	150		Prove Owner	1588023592274	1588023592346	OK	 
USER	Prove Ownership	150	END	1588023592273	1588023592347
USER	Prove Ownership	151	START	1588023592471	1588023592471
REQUEST	151		Prove Owner	1588023592472	1588023592525	OK	 
USER	Prove Ownership	151	END	1588023592471	1588023592525
USER	Prove Ownership	152	START	1588023592673	1588023592673
REQUEST	152		Prove Owner	1588023592676	1588023592789	OK	 
USER	Prove Ownership	152	END	1588023592673	1588023592790
USER	Prove Ownership	153	START	1588023592872	1588023592872
REQUEST	153		Prove Owner	1588023592872	1588023592931	OK	 
USER	Prove Ownership	153	END	1588023592872	1588023592931
USER	Prove Ownership	154	START	1588023593072	1588023593072
REQUEST	154		Prove Owner	1588023593073	1588023593133	OK	 
USER	Prove Ownership	154	END	1588023593072	1588023593134
USER	Prove Ownership	155	START	1588023593271	1588023593271
REQUEST	155		Prove Owner	1588023593272	1588023593366	OK	 
USER	Prove Ownership	155	END	1588023593271	1588023593367
USER	Prove Ownership	156	START	1588023593471	1588023593471
REQUEST	156		Prove Owner	1588023593472	1588023593519	OK	 
USER	Prove Ownership	156	END	1588023593471	1588023593519
USER	Prove Ownership	157	START	1588023593671	1588023593671
REQUEST	157		Prove Owner	1588023593672	1588023593737	OK	 
USER	Prove Ownership	157	END	1588023593671	1588023593738
USER	Prove Ownership	158	START	1588023593873	1588023593873
REQUEST	158		Prove Owner	1588023593874	1588023593948	OK	 
USER	Prove Ownership	158	END	1588023593873	1588023593949
USER	Prove Ownership	159	START	1588023594071	1588023594071
REQUEST	159		Prove Owner	1588023594072	1588023594136	OK	 
USER	Prove Ownership	159	END	1588023594071	1588023594136
USER	Prove Ownership	160	START	1588023594271	1588023594271
REQUEST	160		Prove Owner	1588023594271	1588023594342	OK	 
USER	Prove Ownership	160	END	1588023594271	1588023594342
USER	Prove Ownership	161	START	1588023594473	1588023594473
REQUEST	161		Prove Owner	1588023594473	1588023594543	OK	 
USER	Prove Ownership	161	END	1588023594473	1588023594543
USER	Prove Ownership	162	START	1588023594661	1588023594661
