RUN	computerdatabase.ProveOwner	proveowner	1588030126469	9 per sec	3.3.1
REQUEST	58		Prove Owner	1588030134035	1588030134172	OK	 
USER	Prove Ownership	58	END	1588030134034	1588030134172
REQUEST	59		Prove Owner	1588030134144	1588030134244	OK	 
USER	Prove Ownership	59	END	1588030134144	1588030134245
USER	Prove Ownership	60	START	1588030134253	1588030134253
REQUEST	60		Prove Owner	1588030134254	1588030134326	OK	 
USER	Prove Ownership	60	END	1588030134253	1588030134327
USER	Prove Ownership	61	START	1588030134363	1588030134363
REQUEST	61		Prove Owner	1588030134364	1588030134471	OK	 
USER	Prove Ownership	61	END	1588030134363	1588030134472
USER	Prove Ownership	62	START	1588030134473	1588030134473
REQUEST	62		Prove Owner	1588030134474	1588030134543	OK	 
USER	Prove Ownership	62	END	1588030134473	1588030134543
USER	Prove Ownership	63	START	1588030134584	1588030134584
REQUEST	63		Prove Owner	1588030134585	1588030134660	OK	 
USER	Prove Ownership	63	END	1588030134584	1588030134661
USER	Prove Ownership	64	START	1588030134693	1588030134693
REQUEST	64		Prove Owner	1588030134694	1588030134791	OK	 
USER	Prove Ownership	64	END	1588030134693	1588030134792
USER	Prove Ownership	65	START	1588030134814	1588030134814
REQUEST	65		Prove Owner	1588030134814	1588030134888	OK	 
USER	Prove Ownership	65	END	1588030134814	1588030134889
USER	Prove Ownership	66	START	1588030134926	1588030134926
REQUEST	66		Prove Owner	1588030134927	1588030134988	OK	 
USER	Prove Ownership	66	END	1588030134926	1588030134988
USER	Prove Ownership	67	START	1588030135033	1588030135033
REQUEST	67		Prove Owner	1588030135034	1588030135121	OK	 
USER	Prove Ownership	67	END	1588030135033	1588030135121
USER	Prove Ownership	68	START	1588030135144	1588030135144
REQUEST	68		Prove Owner	1588030135145	1588030135236	OK	 
USER	Prove Ownership	68	END	1588030135144	1588030135236
USER	Prove Ownership	69	START	1588030135254	1588030135254
REQUEST	69		Prove Owner	1588030135255	1588030135332	OK	 
USER	Prove Ownership	69	END	1588030135254	1588030135333
USER	Prove Ownership	70	START	1588030135364	1588030135364
REQUEST	70		Prove Owner	1588030135364	1588030135437	OK	 
USER	Prove Ownership	70	END	1588030135364	1588030135437
USER	Prove Ownership	71	START	1588030135474	1588030135474
REQUEST	71		Prove Owner	1588030135474	1588030135559	OK	 
USER	Prove Ownership	71	END	1588030135474	1588030135559
USER	Prove Ownership	72	START	1588030135584	1588030135584
REQUEST	72		Prove Owner	1588030135585	1588030135651	OK	 
USER	Prove Ownership	72	END	1588030135584	1588030135652
USER	Prove Ownership	73	START	1588030135693	1588030135693
REQUEST	73		Prove Owner	1588030135694	1588030135798	OK	 
USER	Prove Ownership	73	END	1588030135693	1588030135799
USER	Prove Ownership	74	START	1588030135814	1588030135814
REQUEST	74		Prove Owner	1588030135815	1588030135879	OK	 
USER	Prove Ownership	74	END	1588030135814	1588030135879
USER	Prove Ownership	75	START	1588030135924	1588030135924
REQUEST	75		Prove Owner	1588030135924	1588030135985	OK	 
USER	Prove Ownership	75	END	1588030135924	1588030135986
USER	Prove Ownership	76	START	1588030136034	1588030136034
REQUEST	76		Prove Owner	1588030136035	1588030136113	OK	 
USER	Prove Ownership	76	END	1588030136034	1588030136114
USER	Prove Ownership	77	START	1588030136145	1588030136145
REQUEST	77		Prove Owner	1588030136146	1588030136212	OK	 
USER	Prove Ownership	77	END	1588030136145	1588030136213
USER	Prove Ownership	78	START	1588030136253	1588030136253
REQUEST	78		Prove Owner	1588030136254	1588030136313	OK	 
USER	Prove Ownership	78	END	1588030136253	1588030136314
USER	Prove Ownership	79	START	1588030136366	1588030136366
REQUEST	79		Prove Owner	1588030136366	1588030136427	OK	 
USER	Prove Ownership	79	END	1588030136366	1588030136428
USER	Prove Ownership	80	START	1588030136474	1588030136474
REQUEST	80		Prove Owner	1588030136474	1588030136575	OK	 
USER	Prove Ownership	80	END	1588030136474	1588030136576
USER	Prove Ownership	81	START	1588030136583	1588030136583
REQUEST	81		Prove Owner	1588030136584	1588030136661	OK	 
USER	Prove Ownership	81	END	1588030136583	1588030136661
USER	Prove Ownership	82	START	1588030136704	1588030136704
USER	Prove Ownership	83	START	1588030136814	1588030136814
REQUEST	82		Prove Owner	1588030136705	1588030136825	OK	 
USER	Prove Ownership	82	END	1588030136704	1588030136825
USER	Prove Ownership	84	START	1588030136924	1588030136924
REQUEST	83		Prove Owner	1588030136815	1588030136937	OK	 
USER	Prove Ownership	83	END	1588030136814	1588030136937
REQUEST	84		Prove Owner	1588030136925	1588030137016	OK	 
USER	Prove Ownership	84	END	1588030136924	1588030137016
USER	Prove Ownership	85	START	1588030137033	1588030137033
REQUEST	85		Prove Owner	1588030137034	1588030137130	OK	 
USER	Prove Ownership	85	END	1588030137033	1588030137131
USER	Prove Ownership	86	START	1588030137143	1588030137143
REQUEST	86		Prove Owner	1588030137144	1588030137248	OK	 
USER	Prove Ownership	86	END	1588030137143	1588030137249
USER	Prove Ownership	87	START	1588030137255	1588030137255
REQUEST	87		Prove Owner	1588030137255	1588030137315	OK	 
USER	Prove Ownership	87	END	1588030137255	1588030137315
USER	Prove Ownership	88	START	1588030137364	1588030137364
REQUEST	88		Prove Owner	1588030137365	1588030137429	OK	 
USER	Prove Ownership	88	END	1588030137364	1588030137429
USER	Prove Ownership	89	START	1588030137473	1588030137473
REQUEST	89		Prove Owner	1588030137473	1588030137570	OK	 
USER	Prove Ownership	89	END	1588030137473	1588030137571
USER	Prove Ownership	90	START	1588030137586	1588030137586
REQUEST	90		Prove Owner	1588030137586	1588030137677	OK	 
USER	Prove Ownership	90	END	1588030137586	1588030137678
USER	Prove Ownership	91	START	1588030137693	1588030137693
REQUEST	91		Prove Owner	1588030137694	1588030137783	OK	 
USER	Prove Ownership	91	END	1588030137693	1588030137783
USER	Prove Ownership	92	START	1588030137813	1588030137813
REQUEST	92		Prove Owner	1588030137814	1588030137872	OK	 
USER	Prove Ownership	92	END	1588030137813	1588030137872
USER	Prove Ownership	93	START	1588030137923	1588030137923
REQUEST	93		Prove Owner	1588030137925	1588030138010	OK	 
USER	Prove Ownership	93	END	1588030137923	1588030138010
USER	Prove Ownership	94	START	1588030138036	1588030138036
REQUEST	94		Prove Owner	1588030138036	1588030138115	OK	 
USER	Prove Ownership	94	END	1588030138036	1588030138116
USER	Prove Ownership	95	START	1588030138143	1588030138143
REQUEST	95		Prove Owner	1588030138144	1588030138198	OK	 
USER	Prove Ownership	95	END	1588030138143	1588030138198
USER	Prove Ownership	96	START	1588030138254	1588030138254
REQUEST	96		Prove Owner	1588030138255	1588030138317	OK	 
USER	Prove Ownership	96	END	1588030138254	1588030138318
USER	Prove Ownership	97	START	1588030138365	1588030138365
REQUEST	97		Prove Owner	1588030138366	1588030138418	OK	 
USER	Prove Ownership	97	END	1588030138365	1588030138418
USER	Prove Ownership	98	START	1588030138474	1588030138474
REQUEST	98		Prove Owner	1588030138474	1588030138541	OK	 
USER	Prove Ownership	98	END	1588030138474	1588030138541
USER	Prove Ownership	99	START	1588030138583	1588030138583
REQUEST	99		Prove Owner	1588030138584	1588030138683	OK	 
USER	Prove Ownership	99	END	1588030138583	1588030138684
USER	Prove Ownership	100	START	1588030138705	1588030138705
REQUEST	100		Prove Owner	1588030138706	1588030138790	OK	 
USER	Prove Ownership	100	END	1588030138705	1588030138790
USER	Prove Ownership	101	START	1588030138814	1588030138814
REQUEST	101		Prove Owner	1588030138815	1588030138916	OK	 
USER	Prove Ownership	101	END	1588030138814	1588030138917
USER	Prove Ownership	102	START	1588030138924	1588030138924
USER	Prove Ownership	103	START	1588030139033	1588030139033
USER	Prove Ownership	104	START	1588030139144	1588030139144
REQUEST	102		Prove Owner	1588030138924	1588030139216	OK	 
USER	Prove Ownership	102	END	1588030138924	1588030139216
USER	Prove Ownership	105	START	1588030139254	1588030139254
USER	Prove Ownership	106	START	1588030139363	1588030139363
REQUEST	103		Prove Owner	1588030139034	1588030139402	OK	 
USER	Prove Ownership	103	END	1588030139033	1588030139403
USER	Prove Ownership	107	START	1588030139474	1588030139474
USER	Prove Ownership	108	START	1588030139584	1588030139584
REQUEST	104		Prove Owner	1588030139145	1588030139657	OK	 
USER	Prove Ownership	104	END	1588030139144	1588030139658
USER	Prove Ownership	109	START	1588030139704	1588030139704
USER	Prove Ownership	110	START	1588030139814	1588030139814
REQUEST	105		Prove Owner	1588030139255	1588030139887	OK	 
USER	Prove Ownership	105	END	1588030139254	1588030139888
USER	Prove Ownership	111	START	1588030139924	1588030139924
USER	Prove Ownership	112	START	1588030140034	1588030140034
USER	Prove Ownership	113	START	1588030140143	1588030140143
REQUEST	106		Prove Owner	1588030139364	1588030140196	OK	 
