RUN	computerdatabase.ProveOwner	proveowner	1604951016620	10 prove	3.3.1
REQUEST	62		Prove Owner	1604951024251	1604951024319	OK	 
USER	Prove Ownership	62	END	1604951024250	1604951024319
USER	Prove Ownership	63	START	1604951024349	1604951024349
REQUEST	63		Prove Owner	1604951024350	1604951024424	OK	 
USER	Prove Ownership	63	END	1604951024349	1604951024424
USER	Prove Ownership	64	START	1604951024449	1604951024449
REQUEST	64		Prove Owner	1604951024451	1604951024528	OK	 
USER	Prove Ownership	64	END	1604951024449	1604951024528
USER	Prove Ownership	65	START	1604951024552	1604951024552
REQUEST	65		Prove Owner	1604951024553	1604951024624	OK	 
USER	Prove Ownership	65	END	1604951024552	1604951024625
USER	Prove Ownership	66	START	1604951024650	1604951024650
REQUEST	66		Prove Owner	1604951024650	1604951024712	OK	 
USER	Prove Ownership	66	END	1604951024650	1604951024713
USER	Prove Ownership	67	START	1604951024750	1604951024750
REQUEST	67		Prove Owner	1604951024751	1604951024813	OK	 
USER	Prove Ownership	67	END	1604951024750	1604951024814
USER	Prove Ownership	68	START	1604951024852	1604951024852
REQUEST	68		Prove Owner	1604951024853	1604951024922	OK	 
USER	Prove Ownership	68	END	1604951024852	1604951024923
USER	Prove Ownership	69	START	1604951024951	1604951024951
REQUEST	69		Prove Owner	1604951024951	1604951025019	OK	 
USER	Prove Ownership	69	END	1604951024951	1604951025020
USER	Prove Ownership	70	START	1604951025050	1604951025050
REQUEST	70		Prove Owner	1604951025051	1604951025132	OK	 
USER	Prove Ownership	70	END	1604951025050	1604951025132
USER	Prove Ownership	71	START	1604951025150	1604951025150
REQUEST	71		Prove Owner	1604951025150	1604951025221	OK	 
USER	Prove Ownership	71	END	1604951025150	1604951025222
USER	Prove Ownership	72	START	1604951025251	1604951025251
REQUEST	72		Prove Owner	1604951025251	1604951025315	OK	 
USER	Prove Ownership	72	END	1604951025251	1604951025315
USER	Prove Ownership	73	START	1604951025351	1604951025351
REQUEST	73		Prove Owner	1604951025352	1604951025427	OK	 
USER	Prove Ownership	73	END	1604951025351	1604951025428
USER	Prove Ownership	74	START	1604951025452	1604951025452
REQUEST	74		Prove Owner	1604951025452	1604951025523	OK	 
USER	Prove Ownership	74	END	1604951025452	1604951025523
USER	Prove Ownership	75	START	1604951025550	1604951025550
REQUEST	75		Prove Owner	1604951025550	1604951025598	OK	 
USER	Prove Ownership	75	END	1604951025550	1604951025598
USER	Prove Ownership	76	START	1604951025650	1604951025650
REQUEST	76		Prove Owner	1604951025651	1604951025717	OK	 
USER	Prove Ownership	76	END	1604951025650	1604951025718
USER	Prove Ownership	77	START	1604951025750	1604951025750
USER	Prove Ownership	78	START	1604951025850	1604951025850
REQUEST	77		Prove Owner	1604951025751	1604951025920	OK	 
USER	Prove Ownership	77	END	1604951025750	1604951025921
USER	Prove Ownership	79	START	1604951025950	1604951025950
USER	Prove Ownership	80	START	1604951026049	1604951026049
REQUEST	78		Prove Owner	1604951025852	1604951026091	OK	 
USER	Prove Ownership	78	END	1604951025850	1604951026091
USER	Prove Ownership	81	START	1604951026149	1604951026149
REQUEST	79		Prove Owner	1604951025951	1604951026192	OK	 
USER	Prove Ownership	79	END	1604951025950	1604951026193
USER	Prove Ownership	82	START	1604951026250	1604951026250
USER	Prove Ownership	83	START	1604951026350	1604951026350
REQUEST	80		Prove Owner	1604951026050	1604951026435	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Prove Ownership	80	END	1604951026049	1604951026438
USER	Prove Ownership	84	START	1604951026449	1604951026449
USER	Prove Ownership	85	START	1604951026550	1604951026550
REQUEST	81		Prove Owner	1604951026150	1604951026572	OK	 
USER	Prove Ownership	81	END	1604951026149	1604951026573
REQUEST	82		Prove Owner	1604951026251	1604951026613	OK	 
USER	Prove Ownership	82	END	1604951026250	1604951026614
USER	Prove Ownership	86	START	1604951026650	1604951026650
REQUEST	83		Prove Owner	1604951026352	1604951026670	OK	 
USER	Prove Ownership	83	END	1604951026350	1604951026670
USER	Prove Ownership	87	START	1604951026750	1604951026750
REQUEST	84		Prove Owner	1604951026451	1604951026788	OK	 
USER	Prove Ownership	84	END	1604951026449	1604951026789
REQUEST	86		Prove Owner	1604951026651	1604951026829	OK	 
USER	Prove Ownership	86	END	1604951026650	1604951026830
