RUN	computerdatabase.ProveOwner	proveowner	1606767974831	 	3.3.1
USER	Prove Ownership	51	START	1606767982082	1606767982082
REQUEST	51		Prove Owner	1606767982083	1606767982142	OK	 
USER	Prove Ownership	51	END	1606767982082	1606767982143
USER	Prove Ownership	52	START	1606767982194	1606767982194
REQUEST	52		Prove Owner	1606767982195	1606767982256	OK	 
USER	Prove Ownership	52	END	1606767982194	1606767982257
USER	Prove Ownership	53	START	1606767982303	1606767982303
REQUEST	53		Prove Owner	1606767982304	1606767982378	OK	 
USER	Prove Ownership	53	END	1606767982303	1606767982379
USER	Prove Ownership	54	START	1606767982413	1606767982413
REQUEST	54		Prove Owner	1606767982414	1606767982481	OK	 
USER	Prove Ownership	54	END	1606767982413	1606767982481
USER	Prove Ownership	55	START	1606767982521	1606767982521
REQUEST	55		Prove Owner	1606767982522	1606767982586	OK	 
USER	Prove Ownership	55	END	1606767982521	1606767982587
USER	Prove Ownership	56	START	1606767982644	1606767982644
REQUEST	56		Prove Owner	1606767982645	1606767982704	OK	 
USER	Prove Ownership	56	END	1606767982644	1606767982705
USER	Prove Ownership	57	START	1606767982755	1606767982755
REQUEST	57		Prove Owner	1606767982756	1606767982812	OK	 
USER	Prove Ownership	57	END	1606767982755	1606767982813
USER	Prove Ownership	58	START	1606767982862	1606767982862
USER	Prove Ownership	59	START	1606767982972	1606767982972
REQUEST	58		Prove Owner	1606767982864	1606767982995	OK	 
USER	Prove Ownership	58	END	1606767982862	1606767982996
REQUEST	59		Prove Owner	1606767982973	1606767983063	OK	 
USER	Prove Ownership	59	END	1606767982972	1606767983064
USER	Prove Ownership	60	START	1606767983082	1606767983082
REQUEST	60		Prove Owner	1606767983083	1606767983145	OK	 
USER	Prove Ownership	60	END	1606767983082	1606767983147
USER	Prove Ownership	61	START	1606767983194	1606767983194
REQUEST	61		Prove Owner	1606767983194	1606767983254	OK	 
USER	Prove Ownership	61	END	1606767983194	1606767983255
USER	Prove Ownership	62	START	1606767983303	1606767983303
REQUEST	62		Prove Owner	1606767983304	1606767983364	OK	 
USER	Prove Ownership	62	END	1606767983303	1606767983365
USER	Prove Ownership	63	START	1606767983411	1606767983411
