RUN	computerdatabase.ProveOwner	proveowner	1588020005065	3 users per sec	3.3.1
USER	Prove Ownership	79	END	1588020032354	1588020032419
USER	Prove Ownership	80	START	1588020032684	1588020032684
REQUEST	80		Prove Owner	1588020032685	1588020032785	OK	 
USER	Prove Ownership	80	END	1588020032684	1588020032787
USER	Prove Ownership	81	START	1588020033015	1588020033015
REQUEST	81		Prove Owner	1588020033016	1588020033115	OK	 
USER	Prove Ownership	81	END	1588020033015	1588020033116
USER	Prove Ownership	82	START	1588020033353	1588020033353
REQUEST	82		Prove Owner	1588020033354	1588020033412	OK	 
USER	Prove Ownership	82	END	1588020033353	1588020033413
USER	Prove Ownership	83	START	1588020033684	1588020033684
REQUEST	83		Prove Owner	1588020033685	1588020033754	OK	 
USER	Prove Ownership	83	END	1588020033684	1588020033755
USER	Prove Ownership	84	START	1588020034014	1588020034014
REQUEST	84		Prove Owner	1588020034015	1588020034087	OK	 
USER	Prove Ownership	84	END	1588020034014	1588020034087
USER	Prove Ownership	85	START	1588020034353	1588020034353
REQUEST	85		Prove Owner	1588020034354	1588020034421	OK	 
USER	Prove Ownership	85	END	1588020034353	1588020034422
USER	Prove Ownership	86	START	1588020034683	1588020034683
REQUEST	86		Prove Owner	1588020034684	1588020034759	OK	 
USER	Prove Ownership	86	END	1588020034683	1588020034760
USER	Prove Ownership	87	START	1588020035014	1588020035014
REQUEST	87		Prove Owner	1588020035014	1588020035081	OK	 
USER	Prove Ownership	87	END	1588020035014	1588020035082
USER	Prove Ownership	88	START	1588020035354	1588020035354
REQUEST	88		Prove Owner	1588020035355	1588020035418	OK	 
USER	Prove Ownership	88	END	1588020035354	1588020035419
USER	Prove Ownership	89	START	1588020035683	1588020035683
REQUEST	89		Prove Owner	1588020035684	1588020035842	OK	 
USER	Prove Ownership	89	END	1588020035683	1588020035843
USER	Prove Ownership	90	START	1588020036013	1588020036013
REQUEST	90		Prove Owner	1588020036014	1588020036152	OK	 
USER	Prove Ownership	90	END	1588020036013	1588020036152
USER	Prove Ownership	91	START	1588020036354	1588020036354
REQUEST	91		Prove Owner	1588020036355	1588020036451	OK	 
USER	Prove Ownership	91	END	1588020036354	1588020036452
USER	Prove Ownership	92	START	1588020036683	1588020036683
REQUEST	92		Prove Owner	1588020036684	1588020036752	OK	 
USER	Prove Ownership	92	END	1588020036683	1588020036753
USER	Prove Ownership	93	START	1588020037013	1588020037013
REQUEST	93		Prove Owner	1588020037014	1588020037087	OK	 
USER	Prove Ownership	93	END	1588020037013	1588020037087
USER	Prove Ownership	94	START	1588020037354	1588020037354
REQUEST	94		Prove Owner	1588020037355	1588020037424	OK	 
USER	Prove Ownership	94	END	1588020037354	1588020037424
USER	Prove Ownership	95	START	1588020037683	1588020037683
REQUEST	95		Prove Owner	1588020037684	1588020037782	OK	 
USER	Prove Ownership	95	END	1588020037683	1588020037783
USER	Prove Ownership	96	START	1588020038014	1588020038014
REQUEST	96		Prove Owner	1588020038015	1588020038131	OK	 
USER	Prove Ownership	96	END	1588020038014	1588020038131
USER	Prove Ownership	97	START	1588020038353	1588020038353
REQUEST	97		Prove Owner	1588020038354	1588020038416	OK	 
USER	Prove Ownership	97	END	1588020038353	1588020038417
USER	Prove Ownership	98	START	1588020038684	1588020038684
REQUEST	98		Prove Owner	1588020038686	1588020038761	OK	 
USER	Prove Ownership	98	END	1588020038684	1588020038761
USER	Prove Ownership	99	START	1588020039013	1588020039013
REQUEST	99		Prove Owner	1588020039014	1588020039088	OK	 
USER	Prove Ownership	99	END	1588020039013	1588020039088
USER	Prove Ownership	100	START	1588020039353	1588020039353
REQUEST	100		Prove Owner	1588020039354	1588020039422	OK	 
USER	Prove Ownership	100	END	1588020039353	1588020039422
USER	Prove Ownership	101	START	1588020039684	1588020039684
REQUEST	101		Prove Owner	1588020039685	1588020039764	OK	 
USER	Prove Ownership	101	END	1588020039684	1588020039764
USER	Prove Ownership	102	START	1588020040015	1588020040015
REQUEST	102		Prove Owner	1588020040017	1588020040101	OK	 
USER	Prove Ownership	102	END	1588020040015	1588020040102
USER	Prove Ownership	103	START	1588020040353	1588020040353
REQUEST	103		Prove Owner	1588020040354	1588020040449	OK	 
USER	Prove Ownership	103	END	1588020040353	1588020040449
USER	Prove Ownership	104	START	1588020040684	1588020040684
REQUEST	104		Prove Owner	1588020040685	1588020040750	OK	 
USER	Prove Ownership	104	END	1588020040684	1588020040751
USER	Prove Ownership	105	START	1588020041014	1588020041014
REQUEST	105		Prove Owner	1588020041015	1588020041093	OK	 
USER	Prove Ownership	105	END	1588020041014	1588020041094
USER	Prove Ownership	106	START	1588020041353	1588020041353
REQUEST	106		Prove Owner	1588020041354	1588020041431	OK	 
USER	Prove Ownership	106	END	1588020041353	1588020041431
USER	Prove Ownership	107	START	1588020041683	1588020041683
REQUEST	107		Prove Owner	1588020041684	1588020041748	OK	 
USER	Prove Ownership	107	END	1588020041683	1588020041748
USER	Prove Ownership	108	START	1588020042013	1588020042013
REQUEST	108		Prove Owner	1588020042014	1588020042073	OK	 
USER	Prove Ownership	108	END	1588020042013	1588020042074
USER	Prove Ownership	109	START	1588020042353	1588020042353
REQUEST	109		Prove Owner	1588020042356	1588020042455	OK	 
USER	Prove Ownership	109	END	1588020042353	1588020042455
USER	Prove Ownership	110	START	1588020042683	1588020042683
REQUEST	110		Prove Owner	1588020042684	1588020042784	OK	 
USER	Prove Ownership	110	END	1588020042683	1588020042785
USER	Prove Ownership	111	START	1588020043013	1588020043013
REQUEST	111		Prove Owner	1588020043014	1588020043084	OK	 
USER	Prove Ownership	111	END	1588020043013	1588020043085
USER	Prove Ownership	112	START	1588020043354	1588020043354
REQUEST	112		Prove Owner	1588020043356	1588020043427	OK	 
USER	Prove Ownership	112	END	1588020043354	1588020043428
USER	Prove Ownership	113	START	1588020043684	1588020043684
REQUEST	113		Prove Owner	1588020043685	1588020043757	OK	 
USER	Prove Ownership	113	END	1588020043684	1588020043758
USER	Prove Ownership	114	START	1588020044014	1588020044014
REQUEST	114		Prove Owner	1588020044015	1588020044087	OK	 
USER	Prove Ownership	114	END	1588020044014	1588020044088
USER	Prove Ownership	115	START	1588020044355	1588020044355
REQUEST	115		Prove Owner	1588020044357	1588020044463	OK	 
USER	Prove Ownership	115	END	1588020044355	1588020044464
USER	Prove Ownership	116	START	1588020044683	1588020044683
REQUEST	116		Prove Owner	1588020044684	1588020044752	OK	 
USER	Prove Ownership	116	END	1588020044683	1588020044753
USER	Prove Ownership	117	START	1588020045015	1588020045015
REQUEST	117		Prove Owner	1588020045015	1588020045086	OK	 
USER	Prove Ownership	117	END	1588020045015	1588020045086
USER	Prove Ownership	118	START	1588020045355	1588020045355
REQUEST	118		Prove Owner	1588020045356	1588020045445	OK	 
USER	Prove Ownership	118	END	1588020045355	1588020045446
USER	Prove Ownership	119	START	1588020045683	1588020045683
REQUEST	119		Prove Owner	1588020045684	1588020045925	OK	 
USER	Prove Ownership	119	END	1588020045683	1588020045926
USER	Prove Ownership	120	START	1588020046013	1588020046013
REQUEST	120		Prove Owner	1588020046014	1588020046122	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Prove Ownership	120	END	1588020046013	1588020046126
USER	Prove Ownership	121	START	1588020046354	1588020046354
REQUEST	121		Prove Owner	1588020046355	1588020046448	OK	 
USER	Prove Ownership	121	END	1588020046354	1588020046449
USER	Prove Ownership	122	START	1588020046683	1588020046683
REQUEST	122		Prove Owner	1588020046685	1588020046741	OK	 
USER	Prove Ownership	122	END	1588020046683	1588020046742
USER	Prove Ownership	123	START	1588020047014	1588020047014
REQUEST	123		Prove Owner	1588020047015	1588020047066	OK	 
USER	Prove Ownership	123	END	1588020047014	1588020047066
USER	Prove Ownership	124	START	1588020047353	1588020047353
REQUEST	124		Prove Owner	1588020047354	1588020047443	OK	 
USER	Prove Ownership	124	END	1588020047353	1588020047443
USER	Prove Ownership	125	START	1588020047684	1588020047684
REQUEST	125		Prove Owner	1588020047685	1588020047779	OK	 
USER	Prove Ownership	125	END	1588020047684	1588020047781
USER	Prove Ownership	126	START	1588020048013	1588020048013
REQUEST	126		Prove Owner	1588020048017	1588020048083	OK	 
USER	Prove Ownership	126	END	1588020048013	1588020048083
USER	Prove Ownership	127	START	1588020048353	1588020048353
REQUEST	127		Prove Owner	1588020048354	1588020048463	OK	 
USER	Prove Ownership	127	END	1588020048353	1588020048464
USER	Prove Ownership	128	START	1588020048686	1588020048686
REQUEST	128		Prove Owner	1588020048688	1588020048756	OK	 
USER	Prove Ownership	128	END	1588020048686	1588020048757
USER	Prove Ownership	129	START	1588020049014	1588020049014
REQUEST	129		Prove Owner	1588020049015	1588020049079	OK	 
USER	Prove Ownership	129	END	1588020049014	1588020049080
USER	Prove Ownership	130	START	1588020049353	1588020049353
REQUEST	130		Prove Owner	1588020049354	1588020049441	OK	 
USER	Prove Ownership	130	END	1588020049353	1588020049442
USER	Prove Ownership	131	START	1588020049685	1588020049685
REQUEST	131		Prove Owner	1588020049686	1588020049763	OK	 
USER	Prove Ownership	131	END	1588020049685	1588020049764
USER	Prove Ownership	132	START	1588020050015	1588020050015
REQUEST	132		Prove Owner	1588020050015	1588020050107	OK	 
USER	Prove Ownership	132	END	1588020050015	1588020050108
USER	Prove Ownership	133	START	1588020050354	1588020050354
REQUEST	133		Prove Owner	1588020050355	1588020050461	OK	 
USER	Prove Ownership	133	END	1588020050354	1588020050461
USER	Prove Ownership	134	START	1588020050685	1588020050685
REQUEST	134		Prove Owner	1588020050686	1588020050756	OK	 
USER	Prove Ownership	134	END	1588020050685	1588020050757
USER	Prove Ownership	135	START	1588020051013	1588020051013
REQUEST	135		Prove Owner	1588020051015	1588020051080	OK	 
USER	Prove Ownership	135	END	1588020051013	1588020051081
USER	Prove Ownership	136	START	1588020051353	1588020051353
REQUEST	136		Prove Owner	1588020051354	1588020051439	OK	 
USER	Prove Ownership	136	END	1588020051353	1588020051440
USER	Prove Ownership	137	START	1588020051683	1588020051683
REQUEST	137		Prove Owner	1588020051683	1588020051752	OK	 
USER	Prove Ownership	137	END	1588020051683	1588020051752
USER	Prove Ownership	138	START	1588020052014	1588020052014
REQUEST	138		Prove Owner	1588020052015	1588020052073	OK	 
USER	Prove Ownership	138	END	1588020052014	1588020052074
USER	Prove Ownership	139	START	1588020052353	1588020052353
REQUEST	139		Prove Owner	1588020052354	1588020052451	OK	 
USER	Prove Ownership	139	END	1588020052353	1588020052452
