RUN	computerdatabase.ProveOwner	proveowner	1604953604549	1 prove	3.3.1
REQUEST	25		Prove Owner	1604953630613	1604953630711	OK	 
USER	Prove Ownership	25	END	1604953630613	1604953630712
USER	Prove Ownership	26	START	1604953631623	1604953631623
REQUEST	26		Prove Owner	1604953631624	1604953631803	OK	 
USER	Prove Ownership	26	END	1604953631623	1604953631810
USER	Prove Ownership	27	START	1604953632623	1604953632623
REQUEST	27		Prove Owner	1604953632624	1604953632728	OK	 
USER	Prove Ownership	27	END	1604953632623	1604953632729
USER	Prove Ownership	28	START	1604953633613	1604953633613
REQUEST	28		Prove Owner	1604953633614	1604953633670	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Prove Ownership	28	END	1604953633613	1604953633672
USER	Prove Ownership	29	START	1604953634622	1604953634622
REQUEST	29		Prove Owner	1604953634623	1604953634689	OK	 
USER	Prove Ownership	29	END	1604953634622	1604953634690
USER	Prove Ownership	30	START	1604953635623	1604953635623
REQUEST	30		Prove Owner	1604953635624	1604953635724	OK	 
USER	Prove Ownership	30	END	1604953635623	1604953635725
USER	Prove Ownership	31	START	1604953636623	1604953636623
REQUEST	31		Prove Owner	1604953636624	1604953636802	OK	 
USER	Prove Ownership	31	END	1604953636623	1604953636803
USER	Prove Ownership	32	START	1604953637615	1604953637615
REQUEST	32		Prove Owner	1604953637616	1604953637710	OK	 
USER	Prove Ownership	32	END	1604953637615	1604953637711
USER	Prove Ownership	33	START	1604953638625	1604953638625
REQUEST	33		Prove Owner	1604953638625	1604953638709	OK	 
USER	Prove Ownership	33	END	1604953638625	1604953638710
USER	Prove Ownership	34	START	1604953639624	1604953639624
REQUEST	34		Prove Owner	1604953639624	1604953639715	OK	 
USER	Prove Ownership	34	END	1604953639624	1604953639716
USER	Prove Ownership	35	START	1604953640614	1604953640614
REQUEST	35		Prove Owner	1604953640615	1604953640778	OK	 
USER	Prove Ownership	35	END	1604953640614	1604953640778
USER	Prove Ownership	36	START	1604953641623	1604953641623
REQUEST	36		Prove Owner	1604953641624	1604953641716	OK	 
USER	Prove Ownership	36	END	1604953641623	1604953641717
USER	Prove Ownership	37	START	1604953642624	1604953642624
REQUEST	37		Prove Owner	1604953642625	1604953642707	OK	 
USER	Prove Ownership	37	END	1604953642624	1604953642708
USER	Prove Ownership	38	START	1604953643623	1604953643623
REQUEST	38		Prove Owner	1604953643624	1604953643700	OK	 
USER	Prove Ownership	38	END	1604953643623	1604953643702
USER	Prove Ownership	39	START	1604953644625	1604953644625
REQUEST	39		Prove Owner	1604953644626	1604953644698	OK	 
USER	Prove Ownership	39	END	1604953644625	1604953644699
USER	Prove Ownership	40	START	1604953645622	1604953645622
REQUEST	40		Prove Owner	1604953645623	1604953645715	OK	 
USER	Prove Ownership	40	END	1604953645622	1604953645717
USER	Prove Ownership	41	START	1604953646623	1604953646623
REQUEST	41		Prove Owner	1604953646623	1604953646729	OK	 
USER	Prove Ownership	41	END	1604953646623	1604953646730
USER	Prove Ownership	42	START	1604953647615	1604953647615
REQUEST	42		Prove Owner	1604953647615	1604953647692	OK	 
USER	Prove Ownership	42	END	1604953647615	1604953647693
USER	Prove Ownership	43	START	1604953648623	1604953648623
REQUEST	43		Prove Owner	1604953648624	1604953648712	OK	 
USER	Prove Ownership	43	END	1604953648623	1604953648713
USER	Prove Ownership	44	START	1604953649623	1604953649623
REQUEST	44		Prove Owner	1604953649623	1604953649706	OK	 
USER	Prove Ownership	44	END	1604953649623	1604953649707
USER	Prove Ownership	45	START	1604953650624	1604953650624
REQUEST	45		Prove Owner	1604953650625	1604953650752	OK	 
USER	Prove Ownership	45	END	1604953650624	1604953650752
USER	Prove Ownership	46	START	1604953651623	1604953651623
REQUEST	46		Prove Owner	1604953651624	1604953651707	OK	 
USER	Prove Ownership	46	END	1604953651623	1604953651708
USER	Prove Ownership	47	START	1604953652613	1604953652613
REQUEST	47		Prove Owner	1604953652614	1604953652694	OK	 
USER	Prove Ownership	47	END	1604953652613	1604953652695
USER	Prove Ownership	48	START	1604953653623	1604953653623
REQUEST	48		Prove Owner	1604953653624	1604953653703	OK	 
USER	Prove Ownership	48	END	1604953653623	1604953653703
USER	Prove Ownership	49	START	1604953654623	1604953654623
REQUEST	49		Prove Owner	1604953654624	1604953654706	OK	 
USER	Prove Ownership	49	END	1604953654623	1604953654707
USER	Prove Ownership	50	START	1604953655623	1604953655623
REQUEST	50		Prove Owner	1604953655623	1604953655726	OK	 
USER	Prove Ownership	50	END	1604953655623	1604953655727
USER	Prove Ownership	51	START	1604953656623	1604953656623
REQUEST	51		Prove Owner	1604953656624	1604953656731	OK	 
USER	Prove Ownership	51	END	1604953656623	1604953656732
USER	Prove Ownership	52	START	1604953657624	1604953657624
REQUEST	52		Prove Owner	1604953657626	1604953657714	OK	 
USER	Prove Ownership	52	END	1604953657624	1604953657715
USER	Prove Ownership	53	START	1604953658625	1604953658625
REQUEST	53		Prove Owner	1604953658625	1604953658715	OK	 
USER	Prove Ownership	53	END	1604953658625	1604953658716
USER	Prove Ownership	54	START	1604953659623	1604953659623
REQUEST	54		Prove Owner	1604953659624	1604953659739	OK	 
USER	Prove Ownership	54	END	1604953659623	1604953659739
USER	Prove Ownership	55	START	1604953660613	1604953660613
REQUEST	55		Prove Owner	1604953660614	1604953660752	OK	 
USER	Prove Ownership	55	END	1604953660613	1604953660753
USER	Prove Ownership	56	START	1604953661623	1604953661623
REQUEST	56		Prove Owner	1604953661624	1604953661749	OK	 
USER	Prove Ownership	56	END	1604953661623	1604953661750
USER	Prove Ownership	57	START	1604953662614	1604953662614
REQUEST	57		Prove Owner	1604953662614	1604953662702	OK	 
USER	Prove Ownership	57	END	1604953662614	1604953662703
USER	Prove Ownership	58	START	1604953663614	1604953663614
REQUEST	58		Prove Owner	1604953663614	1604953663700	OK	 
USER	Prove Ownership	58	END	1604953663614	1604953663700
USER	Prove Ownership	59	START	1604953664624	1604953664624
REQUEST	59		Prove Owner	1604953664625	1604953664713	OK	 
USER	Prove Ownership	59	END	1604953664624	1604953664714
USER	Prove Ownership	60	START	1604953665622	1604953665622
REQUEST	60		Prove Owner	1604953665623	1604953665703	OK	 
USER	Prove Ownership	60	END	1604953665622	1604953665704
USER	Prove Ownership	61	START	1604953666623	1604953666623
REQUEST	61		Prove Owner	1604953666624	1604953666956	OK	 
USER	Prove Ownership	61	END	1604953666623	1604953666957
USER	Prove Ownership	62	START	1604953667625	1604953667625
REQUEST	62		Prove Owner	1604953667626	1604953667709	OK	 
USER	Prove Ownership	62	END	1604953667625	1604953667710
USER	Prove Ownership	63	START	1604953668624	1604953668624
REQUEST	63		Prove Owner	1604953668624	1604953668717	OK	 
USER	Prove Ownership	63	END	1604953668624	1604953668718
USER	Prove Ownership	64	START	1604953669615	1604953669615
REQUEST	64		Prove Owner	1604953669616	1604953669713	OK	 
USER	Prove Ownership	64	END	1604953669615	1604953669714
USER	Prove Ownership	65	START	1604953670623	1604953670623
REQUEST	65		Prove Owner	1604953670624	1604953670733	OK	 
USER	Prove Ownership	65	END	1604953670623	1604953670734
USER	Prove Ownership	66	START	1604953671625	1604953671625
REQUEST	66		Prove Owner	1604953671626	1604953671728	OK	 
USER	Prove Ownership	66	END	1604953671625	1604953671729
USER	Prove Ownership	67	START	1604953672623	1604953672623
REQUEST	67		Prove Owner	1604953672624	1604953672753	OK	 
USER	Prove Ownership	67	END	1604953672623	1604953672754
USER	Prove Ownership	68	START	1604953673626	1604953673626
REQUEST	68		Prove Owner	1604953673626	1604953673715	OK	 
USER	Prove Ownership	68	END	1604953673626	1604953673716
USER	Prove Ownership	69	START	1604953674624	1604953674624
REQUEST	69		Prove Owner	1604953674625	1604953674722	OK	 
USER	Prove Ownership	69	END	1604953674624	1604953674723
USER	Prove Ownership	70	START	1604953675613	1604953675613
REQUEST	70		Prove Owner	1604953675614	1604953675680	OK	 
USER	Prove Ownership	70	END	1604953675613	1604953675681
USER	Prove Ownership	71	START	1604953676623	1604953676623
REQUEST	71		Prove Owner	1604953676624	1604953676691	OK	 
USER	Prove Ownership	71	END	1604953676623	1604953676691
USER	Prove Ownership	72	START	1604953677623	1604953677623
REQUEST	72		Prove Owner	1604953677623	1604953677683	OK	 
USER	Prove Ownership	72	END	1604953677623	1604953677684
USER	Prove Ownership	73	START	1604953678623	1604953678623
REQUEST	73		Prove Owner	1604953678624	1604953678716	OK	 
USER	Prove Ownership	73	END	1604953678623	1604953678717
USER	Prove Ownership	74	START	1604953679623	1604953679623
REQUEST	74		Prove Owner	1604953679624	1604953679716	OK	 
USER	Prove Ownership	74	END	1604953679623	1604953679717
USER	Prove Ownership	75	START	1604953680623	1604953680623
REQUEST	75		Prove Owner	1604953680625	1604953680767	OK	 
USER	Prove Ownership	75	END	1604953680623	1604953680767
USER	Prove Ownership	76	START	1604953681613	1604953681613
REQUEST	76		Prove Owner	1604953681614	1604953681702	OK	 
USER	Prove Ownership	76	END	1604953681613	1604953681703
USER	Prove Ownership	77	START	1604953682625	1604953682625
REQUEST	77		Prove Owner	1604953682626	1604953682721	OK	 
USER	Prove Ownership	77	END	1604953682625	1604953682722
USER	Prove Ownership	78	START	1604953683623	1604953683623
REQUEST	78		Prove Owner	1604953683624	1604953683688	OK	 
USER	Prove Ownership	78	END	1604953683623	1604953683689
USER	Prove Ownership	79	START	1604953684623	1604953684623
REQUEST	79		Prove Owner	1604953684624	1604953684718	OK	 
USER	Prove Ownership	79	END	1604953684623	1604953684719
USER	Prove Ownership	80	START	1604953685623	1604953685623
REQUEST	80		Prove Owner	1604953685625	1604953685730	OK	 
USER	Prove Ownership	80	END	1604953685623	1604953685731
USER	Prove Ownership	81	START	1604953686625	1604953686625
REQUEST	81		Prove Owner	1604953686626	1604953686775	OK	 
USER	Prove Ownership	81	END	1604953686625	1604953686776
USER	Prove Ownership	82	START	1604953687614	1604953687614
REQUEST	82		Prove Owner	1604953687614	1604953687686	OK	 
USER	Prove Ownership	82	END	1604953687614	1604953687687
USER	Prove Ownership	83	START	1604953688623	1604953688623
REQUEST	83		Prove Owner	1604953688624	1604953688698	OK	 
USER	Prove Ownership	83	END	1604953688623	1604953688699
USER	Prove Ownership	84	START	1604953689623	1604953689623
REQUEST	84		Prove Owner	1604953689624	1604953689703	OK	 
USER	Prove Ownership	84	END	1604953689623	1604953689704
USER	Prove Ownership	85	START	1604953690623	1604953690623
REQUEST	85		Prove Owner	1604953690625	1604953690769	OK	 
USER	Prove Ownership	85	END	1604953690623	1604953690770
USER	Prove Ownership	86	START	1604953691613	1604953691613
REQUEST	86		Prove Owner	1604953691614	1604953691737	OK	 
USER	Prove Ownership	86	END	1604953691613	1604953691738
USER	Prove Ownership	87	START	1604953692623	1604953692623
REQUEST	87		Prove Owner	1604953692624	1604953692711	OK	 
USER	Prove Ownership	87	END	1604953692623	1604953692711
USER	Prove Ownership	88	START	1604953693624	1604953693624
REQUEST	88		Prove Owner	1604953693624	1604953693701	OK	 
USER	Prove Ownership	88	END	1604953693624	1604953693702
USER	Prove Ownership	89	START	1604953694613	1604953694613
REQUEST	89		Prove Owner	1604953694614	1604953694722	OK	 
USER	Prove Ownership	89	END	1604953694613	1604953694723
USER	Prove Ownership	90	START	1604953695624	1604953695624
REQUEST	90		Prove Owner	1604953695625	1604953695700	OK	 
USER	Prove Ownership	90	END	1604953695624	1604953695700
USER	Prove Ownership	91	START	1604953696624	1604953696624
REQUEST	91		Prove Owner	1604953696625	1604953696821	OK	 
USER	Prove Ownership	91	END	1604953696624	1604953696822
USER	Prove Ownership	92	START	1604953697623	1604953697623
REQUEST	92		Prove Owner	1604953697624	1604953697703	OK	 
USER	Prove Ownership	92	END	1604953697623	1604953697703
USER	Prove Ownership	93	START	1604953698624	1604953698624
REQUEST	93		Prove Owner	1604953698625	1604953698683	OK	 
USER	Prove Ownership	93	END	1604953698624	1604953698683
USER	Prove Ownership	94	START	1604953699624	1604953699624
REQUEST	94		Prove Owner	1604953699624	1604953699685	OK	 
USER	Prove Ownership	94	END	1604953699624	1604953699686
USER	Prove Ownership	95	START	1604953700623	1604953700623
REQUEST	95		Prove Owner	1604953700624	1604953700710	OK	 
USER	Prove Ownership	95	END	1604953700623	1604953700710
USER	Prove Ownership	96	START	1604953701626	1604953701626
REQUEST	96		Prove Owner	1604953701627	1604953701715	OK	 
USER	Prove Ownership	96	END	1604953701626	1604953701716
USER	Prove Ownership	97	START	1604953702623	1604953702623
REQUEST	97		Prove Owner	1604953702624	1604953702723	OK	 
USER	Prove Ownership	97	END	1604953702623	1604953702724
USER	Prove Ownership	98	START	1604953703613	1604953703613
REQUEST	98		Prove Owner	1604953703614	1604953703695	OK	 
USER	Prove Ownership	98	END	1604953703613	1604953703696
USER	Prove Ownership	99	START	1604953704623	1604953704623
REQUEST	99		Prove Owner	1604953704624	1604953704686	OK	 
USER	Prove Ownership	99	END	1604953704623	1604953704686
USER	Prove Ownership	100	START	1604953705623	1604953705623
REQUEST	100		Prove Owner	1604953705624	1604953705699	OK	 
USER	Prove Ownership	100	END	1604953705623	1604953705699
USER	Prove Ownership	101	START	1604953706622	1604953706622
REQUEST	101		Prove Owner	1604953706623	1604953706690	OK	 
USER	Prove Ownership	101	END	1604953706622	1604953706691
USER	Prove Ownership	102	START	1604953707623	1604953707623
REQUEST	102		Prove Owner	1604953707624	1604953707689	OK	 
USER	Prove Ownership	102	END	1604953707623	1604953707690
USER	Prove Ownership	103	START	1604953708623	1604953708623
REQUEST	103		Prove Owner	1604953708624	1604953708692	OK	 
USER	Prove Ownership	103	END	1604953708623	1604953708692
USER	Prove Ownership	104	START	1604953709613	1604953709613
REQUEST	104		Prove Owner	1604953709614	1604953709696	OK	 
USER	Prove Ownership	104	END	1604953709613	1604953709697
USER	Prove Ownership	105	START	1604953710624	1604953710624
REQUEST	105		Prove Owner	1604953710626	1604953710707	OK	 
USER	Prove Ownership	105	END	1604953710624	1604953710707
USER	Prove Ownership	106	START	1604953711625	1604953711625
REQUEST	106		Prove Owner	1604953711625	1604953711727	OK	 
USER	Prove Ownership	106	END	1604953711625	1604953711728
USER	Prove Ownership	107	START	1604953712623	1604953712623
REQUEST	107		Prove Owner	1604953712624	1604953712749	OK	 
USER	Prove Ownership	107	END	1604953712623	1604953712750
USER	Prove Ownership	108	START	1604953713623	1604953713623
REQUEST	108		Prove Owner	1604953713624	1604953713748	OK	 
USER	Prove Ownership	108	END	1604953713623	1604953713749
USER	Prove Ownership	109	START	1604953714624	1604953714624
REQUEST	109		Prove Owner	1604953714624	1604953714706	OK	 
USER	Prove Ownership	109	END	1604953714624	1604953714707
USER	Prove Ownership	110	START	1604953715623	1604953715623
REQUEST	110		Prove Owner	1604953715624	1604953715773	OK	 
USER	Prove Ownership	110	END	1604953715623	1604953715774
USER	Prove Ownership	111	START	1604953716623	1604953716623
REQUEST	111		Prove Owner	1604953716624	1604953716801	OK	 
USER	Prove Ownership	111	END	1604953716623	1604953716802
USER	Prove Ownership	112	START	1604953717622	1604953717622
REQUEST	112		Prove Owner	1604953717623	1604953717735	OK	 
USER	Prove Ownership	112	END	1604953717622	1604953717736
USER	Prove Ownership	113	START	1604953718624	1604953718624
REQUEST	113		Prove Owner	1604953718625	1604953718735	OK	 
USER	Prove Ownership	113	END	1604953718624	1604953718735
USER	Prove Ownership	114	START	1604953719613	1604953719613
REQUEST	114		Prove Owner	1604953719614	1604953719719	OK	 
USER	Prove Ownership	114	END	1604953719613	1604953719720
USER	Prove Ownership	115	START	1604953720613	1604953720613
REQUEST	115		Prove Owner	1604953720614	1604953720736	OK	 
USER	Prove Ownership	115	END	1604953720613	1604953720736
USER	Prove Ownership	116	START	1604953721625	1604953721625
REQUEST	116		Prove Owner	1604953721625	1604953721862	OK	 
USER	Prove Ownership	116	END	1604953721625	1604953721869
USER	Prove Ownership	117	START	1604953722613	1604953722613
REQUEST	117		Prove Owner	1604953722614	1604953722695	OK	 
USER	Prove Ownership	117	END	1604953722613	1604953722696
USER	Prove Ownership	118	START	1604953723625	1604953723625
REQUEST	118		Prove Owner	1604953723626	1604953723728	OK	 
USER	Prove Ownership	118	END	1604953723625	1604953723729
USER	Prove Ownership	119	START	1604953724613	1604953724613
REQUEST	119		Prove Owner	1604953724615	1604953724718	OK	 
USER	Prove Ownership	119	END	1604953724613	1604953724718
USER	Prove Ownership	120	START	1604953725613	1604953725613
REQUEST	120		Prove Owner	1604953725614	1604953725715	OK	 
USER	Prove Ownership	120	END	1604953725613	1604953725715
USER	Prove Ownership	121	START	1604953726613	1604953726613
REQUEST	121		Prove Owner	1604953726613	1604953726942	OK	 
USER	Prove Ownership	121	END	1604953726613	1604953726945
USER	Prove Ownership	122	START	1604953727623	1604953727623
REQUEST	122		Prove Owner	1604953727624	1604953727741	OK	 
USER	Prove Ownership	122	END	1604953727623	1604953727741
USER	Prove Ownership	123	START	1604953728623	1604953728623
REQUEST	123		Prove Owner	1604953728624	1604953728726	OK	 
USER	Prove Ownership	123	END	1604953728623	1604953728727
USER	Prove Ownership	124	START	1604953729624	1604953729624
REQUEST	124		Prove Owner	1604953729626	1604953729712	OK	 
USER	Prove Ownership	124	END	1604953729624	1604953729713
USER	Prove Ownership	125	START	1604953730623	1604953730623
REQUEST	125		Prove Owner	1604953730624	1604953730712	OK	 
USER	Prove Ownership	125	END	1604953730623	1604953730713
USER	Prove Ownership	126	START	1604953731624	1604953731624
REQUEST	126		Prove Owner	1604953731629	1604953731730	OK	 
USER	Prove Ownership	126	END	1604953731624	1604953731731
USER	Prove Ownership	127	START	1604953732625	1604953732625
REQUEST	127		Prove Owner	1604953732626	1604953732731	OK	 
USER	Prove Ownership	127	END	1604953732625	1604953732732
USER	Prove Ownership	128	START	1604953733614	1604953733614
REQUEST	128		Prove Owner	1604953733615	1604953733686	OK	 
USER	Prove Ownership	128	END	1604953733614	1604953733687
USER	Prove Ownership	129	START	1604953734623	1604953734623
REQUEST	129		Prove Owner	1604953734623	1604953734698	OK	 
USER	Prove Ownership	129	END	1604953734623	1604953734699
USER	Prove Ownership	130	START	1604953735623	1604953735623
REQUEST	130		Prove Owner	1604953735624	1604953735698	OK	 
USER	Prove Ownership	130	END	1604953735623	1604953735699
USER	Prove Ownership	131	START	1604953736613	1604953736613
REQUEST	131		Prove Owner	1604953736614	1604953736731	OK	 
USER	Prove Ownership	131	END	1604953736613	1604953736731
USER	Prove Ownership	132	START	1604953737623	1604953737623
REQUEST	132		Prove Owner	1604953737624	1604953737703	OK	 
USER	Prove Ownership	132	END	1604953737623	1604953737704
USER	Prove Ownership	133	START	1604953738623	1604953738623
REQUEST	133		Prove Owner	1604953738624	1604953738698	OK	 
USER	Prove Ownership	133	END	1604953738623	1604953738699
USER	Prove Ownership	134	START	1604953739623	1604953739623
REQUEST	134		Prove Owner	1604953739624	1604953739700	OK	 
USER	Prove Ownership	134	END	1604953739623	1604953739701
USER	Prove Ownership	135	START	1604953740623	1604953740623
REQUEST	135		Prove Owner	1604953740624	1604953740691	OK	 
USER	Prove Ownership	135	END	1604953740623	1604953740692
USER	Prove Ownership	136	START	1604953741623	1604953741623
REQUEST	136		Prove Owner	1604953741624	1604953741711	OK	 
USER	Prove Ownership	136	END	1604953741623	1604953741712
USER	Prove Ownership	137	START	1604953742624	1604953742624
REQUEST	137		Prove Owner	1604953742624	1604953742702	OK	 
USER	Prove Ownership	137	END	1604953742624	1604953742703
USER	Prove Ownership	138	START	1604953743624	1604953743624
REQUEST	138		Prove Owner	1604953743624	1604953743721	OK	 
USER	Prove Ownership	138	END	1604953743624	1604953743722
USER	Prove Ownership	139	START	1604953744624	1604953744624
REQUEST	139		Prove Owner	1604953744625	1604953744703	OK	 
USER	Prove Ownership	139	END	1604953744624	1604953744704
USER	Prove Ownership	140	START	1604953745614	1604953745614
REQUEST	140		Prove Owner	1604953745615	1604953745698	OK	 
USER	Prove Ownership	140	END	1604953745614	1604953745698
USER	Prove Ownership	141	START	1604953746622	1604953746622
REQUEST	141		Prove Owner	1604953746623	1604953746763	OK	 
USER	Prove Ownership	141	END	1604953746622	1604953746763
USER	Prove Ownership	142	START	1604953747623	1604953747623
REQUEST	142		Prove Owner	1604953747624	1604953747706	OK	 
USER	Prove Ownership	142	END	1604953747623	1604953747706
USER	Prove Ownership	143	START	1604953748624	1604953748624
REQUEST	143		Prove Owner	1604953748625	1604953748707	OK	 
USER	Prove Ownership	143	END	1604953748624	1604953748707
USER	Prove Ownership	144	START	1604953749623	1604953749623
REQUEST	144		Prove Owner	1604953749623	1604953749697	OK	 
USER	Prove Ownership	144	END	1604953749623	1604953749698
USER	Prove Ownership	145	START	1604953750624	1604953750624
REQUEST	145		Prove Owner	1604953750625	1604953750702	OK	 
USER	Prove Ownership	145	END	1604953750624	1604953750702
USER	Prove Ownership	146	START	1604953751613	1604953751613
REQUEST	146		Prove Owner	1604953751614	1604953751743	OK	 
USER	Prove Ownership	146	END	1604953751613	1604953751744
USER	Prove Ownership	147	START	1604953752623	1604953752623
REQUEST	147		Prove Owner	1604953752624	1604953752713	OK	 
USER	Prove Ownership	147	END	1604953752623	1604953752714
USER	Prove Ownership	148	START	1604953753623	1604953753623
REQUEST	148		Prove Owner	1604953753624	1604953753712	OK	 
USER	Prove Ownership	148	END	1604953753623	1604953753713
USER	Prove Ownership	149	START	1604953754623	1604953754623
REQUEST	149		Prove Owner	1604953754624	1604953754717	OK	 
USER	Prove Ownership	149	END	1604953754623	1604953754718
USER	Prove Ownership	150	START	1604953755624	1604953755624
REQUEST	150		Prove Owner	1604953755625	1604953755711	OK	 
USER	Prove Ownership	150	END	1604953755624	1604953755712
USER	Prove Ownership	151	START	1604953756625	1604953756625
REQUEST	151		Prove Owner	1604953756626	1604953756712	OK	 
USER	Prove Ownership	151	END	1604953756625	1604953756713
USER	Prove Ownership	152	START	1604953757613	1604953757613
REQUEST	152		Prove Owner	1604953757615	1604953757697	OK	 
USER	Prove Ownership	152	END	1604953757613	1604953757698
USER	Prove Ownership	153	START	1604953758625	1604953758625
REQUEST	153		Prove Owner	1604953758626	1604953758703	OK	 
USER	Prove Ownership	153	END	1604953758625	1604953758703
USER	Prove Ownership	154	START	1604953759623	1604953759623
REQUEST	154		Prove Owner	1604953759626	1604953759729	OK	 
USER	Prove Ownership	154	END	1604953759623	1604953759729
USER	Prove Ownership	155	START	1604953760613	1604953760613
REQUEST	155		Prove Owner	1604953760616	1604953760741	OK	 
USER	Prove Ownership	155	END	1604953760613	1604953760742
USER	Prove Ownership	156	START	1604953761623	1604953761623
REQUEST	156		Prove Owner	1604953761626	1604953761723	OK	 
USER	Prove Ownership	156	END	1604953761623	1604953761723
USER	Prove Ownership	157	START	1604953762625	1604953762625
REQUEST	157		Prove Owner	1604953762628	1604953762751	OK	 
USER	Prove Ownership	157	END	1604953762625	1604953762751
USER	Prove Ownership	158	START	1604953763614	1604953763614
REQUEST	158		Prove Owner	1604953763615	1604953763727	OK	 
USER	Prove Ownership	158	END	1604953763614	1604953763728
USER	Prove Ownership	159	START	1604953764613	1604953764613
REQUEST	159		Prove Owner	1604953764615	1604953764718	OK	 
USER	Prove Ownership	159	END	1604953764613	1604953764719
USER	Prove Ownership	160	START	1604953765613	1604953765613
REQUEST	160		Prove Owner	1604953765621	1604953765765	OK	 
USER	Prove Ownership	160	END	1604953765613	1604953765766
USER	Prove Ownership	161	START	1604953766613	1604953766613
REQUEST	161		Prove Owner	1604953766616	1604953766708	OK	 
USER	Prove Ownership	161	END	1604953766613	1604953766708
USER	Prove Ownership	162	START	1604953767614	1604953767614
